name,ticker,current_value,total_cost,pct_weight
Vanguard FTSE All-World (Acc),VWRPl_EQ,1253.25,1190.72,13.211978860833822
Vanguard S&P 500 (Dist),VUSAl_EQ,786.78,691.55,8.294371217336394
iShares MSCI Global Semiconductors (Acc),SEMIl_EQ,701.66,486.34,7.397021414316904
Vanguard FTSE 100 (Acc),VUKGl_EQ,471.27,425.93,4.968210075998528
WisdomTree Artificial Intelligence (Acc),INTLl_EQ,460.04,354.65,4.849821468292833
Invesco Energy S&P US Select Sector (Acc),XLEPl_EQ,452.34,395.57,4.76864673282232
Vanguard FTSE Developed Europe ex UK (Acc),VERGl_EQ,342.14,310.14,3.6068992199845877
Vanguard FTSE All-World High Dividend Yield (Acc),VGWEd_EQ,317.42,281.49,3.3462966926039277
Invesco STOXX Europe 600 Optimised Banks (Acc),SC0Ud_EQ,297.29,267.61,3.1340827413024437
Vanguard FTSE Japan (Acc),VJPBl_EQ,295.48,250.82,3.1150014073801544
WisdomTree Quantum Computing (Acc),WQTMd_EQ,274.54,287.46,2.89424829559411
HSBC MSCI China (Acc),HCHSl_EQ,256.6,280.35,2.705121704121252
iShares MSCI World Mid-Cap Equal Weight (Acc),IWSZl_EQ,256.36,238.82,2.702591582496197
iShares STOXX Europe 600 Oil & Gas DE (Dist),EXH1d_EQ,239.58,206.04,2.5256939122111053
Nvidia,NVDd_EQ,226.68,202.66,2.3896998748644016
Alphabet (Class A),GOOGL_US_EQ,217.72,193.97,2.2952420008623498
iShares Dow Jones Asia Pacific Select Dividend 50 DE (Dist),EXXWd_EQ,210.35,187.81,2.2175461826262874
WisdomTree Cybersecurity (Acc),WCBRl_EQ,207.47,182.81,2.187184723125628
iShares Euro Dividend (Dist),IDVYa_EQ,195.54,172.9,2.061416594013522
iShares EM Dividend (Dist),EUNYd_EQ,194.09,173.65,2.0461304425288143
iShares MSCI World Small Cap (Acc),IUSNd_EQ,186.91,169.75,1.9704376372459205
Microsoft,MSFT_US_EQ,182.7,147.83,1.9260550870730815
Vanguard Global Aggregate Bond (Acc),VAGSl_EQ,174.14,174.22,1.8358140824461215
iShares Physical Silver,ISLNl_EQ,172.59,170.56,1.819473713617642
Amundi Global Hydrogen (Acc),ANRJl_EQ,154.89,160.87,1.632877243769839
iShares Global Water (Dist),IH2Ol_EQ,133.56,136.44,1.4080126843430805
UnitedHealth,UNH_US_EQ,122.95,114.25,1.2961602241687762
iShares Developed Markets Property Yield (Dist),IWDPl_EQ,116.79,115.75,1.2312204357923657
Advanced Micro Devices,AMDd_EQ,111.4,79.78,1.1743981209630066
Taiwan Semiconductor Manufacturing,TSM_US_EQ,106.87,82.48,1.1266420752900943
iShares MSCI China Tech (Acc),CBUKd_EQ,95.42,106.16,1.0059341894280978
Chevron,CHVd_EQ,73.83,59.0,0.7783286649075294
Coca-Cola,KO_US_EQ,67.87,56.58,0.7154973112186648
British American Tobacco,BMT1d_EQ,51.24,50.18,0.5401809669492321
Allianz,ALVd_EQ,33.72,30.0,0.35548208832022066
Sony,SNE_US_EQ,17.41,17.09,0.18353923955086127
Adobe,ADBE_US_EQ,16.65,20.76,0.17552718773818723
Nike,NKE_US_EQ,10.17,15.3,0.10721390386170356
